flight_date,flight,airline,flight_status,needs_parking,predicted_needs_parking,arrival_hour,can_park,alert
2024-11-13T09:35:00+00:00,UU8307,Air Austral,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,10,1.0,L'avion de la compagnie Air Austral est autorisé à stationner sur le tarmac.
2024-11-13T08:35:00+00:00,KQ4333,Kenya Airways,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,8,1.0,L'avion de la compagnie Kenya Airways est autorisé à stationner sur le tarmac.
2024-11-13T09:40:00+00:00,KE6448,Korean Air,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,19,1.0,"L'avion de la compagnie Korean Air est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-13T08:25:00+00:00,AI7514,Air India,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,11,1.0,"L'avion de la compagnie Air India est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-13T08:25:00+00:00,AF5075,Air France,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,11,1.0,"L'avion de la compagnie Air France est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-13T07:15:00+00:00,BA304,British Airways,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,20,1.0,L'avion de la compagnie British Airways est autorisé à stationner sur le tarmac.
2024-11-13T08:25:00+00:00,A33318,Aegean Airlines,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,8,1.0,L'avion de la compagnie Aegean Airlines est autorisé à stationner sur le tarmac.
2024-11-13T09:35:00+00:00,KE6360,Korean Air,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,7,1.0,L'avion de la compagnie Korean Air est autorisé à stationner sur le tarmac.
2024-11-13T12:45:00+00:00,UK23,Vistara,scheduled,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,18,1.0,ALERTE : L'avion de la compagnie Vistara ne peut pas stationner en raison des heures de pointe.
2024-11-14T00:05:00+00:00,MF825,Xiamen Airlines,scheduled,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,1,1.0,L'avion de la compagnie Xiamen Airlines n'est pas autorisé à stationner sur le tarmac.
2024-11-13T07:30:00+00:00,B65642,JetBlue Airways,active,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,15,1.0,ALERTE : L'avion de la compagnie JetBlue Airways ne peut pas stationner en raison des heures de pointe.
2024-11-13T09:05:00+00:00,G35280,Gol,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,8,1.0,L'avion de la compagnie Gol est autorisé à stationner sur le tarmac.
2024-11-13T09:40:00+00:00,SK9864,SAS,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,13,1.0,"L'avion de la compagnie SAS est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-13T09:05:00+00:00,MU1878,China Eastern Airlines,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,18,1.0,"L'avion de la compagnie China Eastern Airlines est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-13T09:55:00+00:00,MK9681,Air Mauritius,active,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,18,1.0,ALERTE : L'avion de la compagnie Air Mauritius ne peut pas stationner en raison des heures de pointe.
2024-11-14T00:15:00+00:00,SQ336,Singapore Airlines,scheduled,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,15,1.0,ALERTE : L'avion de la compagnie Singapore Airlines ne peut pas stationner en raison des heures de pointe.
2024-11-13T09:40:00+00:00,AF7331,Air France,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,0,1.0,L'avion de la compagnie Air France est autorisé à stationner sur le tarmac.
2024-11-13T09:35:00+00:00,AM5730,Aeromexico,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,5,1.0,L'avion de la compagnie Aeromexico est autorisé à stationner sur le tarmac.
