flight_date,flight,airline,flight_status,needs_parking,predicted_needs_parking,arrival_hour,can_park,alert
2024-11-20T09:45:00+00:00,MK9081,Air Mauritius,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,3,1.0,L'avion de la compagnie Air Mauritius est autorisé à stationner sur le tarmac.
2024-11-20T09:25:00+00:00,G35286,Gol,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,23,1.0,L'avion de la compagnie Gol est autorisé à stationner sur le tarmac.
2024-11-20T08:55:00+00:00,WS5126,WestJet,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,9,1.0,L'avion de la compagnie WestJet est autorisé à stationner sur le tarmac.
2024-11-20T09:35:00+00:00,AM5730,Aeromexico,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,6,1.0,L'avion de la compagnie Aeromexico est autorisé à stationner sur le tarmac.
2024-11-20T08:25:00+00:00,A33318,Aegean Airlines,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,1,1.0,L'avion de la compagnie Aegean Airlines est autorisé à stationner sur le tarmac.
2024-11-20T10:15:00+00:00,VN2107,Vietnam Airlines,active,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,17,1.0,ALERTE : L'avion de la compagnie Vietnam Airlines ne peut pas stationner en raison des heures de pointe.
2024-11-20T08:25:00+00:00,OU470,Croatia Airlines,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,11,1.0,"L'avion de la compagnie Croatia Airlines est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-20T09:45:00+00:00,DL8274,Delta Air Lines,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,14,1.0,"L'avion de la compagnie Delta Air Lines est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-20T09:05:00+00:00,WS5175,WestJet,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,19,1.0,"L'avion de la compagnie WestJet est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-21T00:05:00+00:00,MF825,Xiamen Airlines,scheduled,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,3,1.0,L'avion de la compagnie Xiamen Airlines n'est pas autorisé à stationner sur le tarmac.
2024-11-20T08:25:00+00:00,AC2971,Air Canada,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,3,1.0,L'avion de la compagnie Air Canada est autorisé à stationner sur le tarmac.
2024-11-20T08:35:00+00:00,DL6622,Delta Air Lines,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,7,1.0,L'avion de la compagnie Delta Air Lines est autorisé à stationner sur le tarmac.
2024-11-20T08:55:00+00:00,DL8243,Delta Air Lines,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,14,1.0,"L'avion de la compagnie Delta Air Lines est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-20T08:35:00+00:00,KQ4333,Kenya Airways,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,1,1.0,L'avion de la compagnie Kenya Airways est autorisé à stationner sur le tarmac.
2024-11-20T10:00:00+00:00,G35246,Gol,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,20,1.0,L'avion de la compagnie Gol est autorisé à stationner sur le tarmac.
2024-11-21T00:35:00+00:00,CZ347,China Southern Airlines,scheduled,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,16,1.0,ALERTE : L'avion de la compagnie China Southern Airlines ne peut pas stationner en raison des heures de pointe.
2024-11-20T13:45:00+00:00,AI2021,Air India,active,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,19,1.0,ALERTE : L'avion de la compagnie Air India ne peut pas stationner en raison des heures de pointe.
2024-11-20T09:45:00+00:00,AF1213,Air France,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,21,1.0,L'avion de la compagnie Air France est autorisé à stationner sur le tarmac.
2024-11-20T09:00:00+00:00,AF4918,Air France,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,23,1.0,L'avion de la compagnie Air France est autorisé à stationner sur le tarmac.
2024-11-20T08:35:00+00:00,EY2832,Etihad Airways,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,7,1.0,L'avion de la compagnie Etihad Airways est autorisé à stationner sur le tarmac.
2024-11-20T09:25:00+00:00,MK9131,Air Mauritius,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,22,1.0,L'avion de la compagnie Air Mauritius est autorisé à stationner sur le tarmac.
2024-11-20T10:00:00+00:00,WS5173,WestJet,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,8,1.0,L'avion de la compagnie WestJet est autorisé à stationner sur le tarmac.
2024-11-20T10:30:00+00:00,TK1823,Turkish Airlines,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,22,1.0,L'avion de la compagnie Turkish Airlines est autorisé à stationner sur le tarmac.
2024-11-20T08:25:00+00:00,SK565,SAS,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,17,1.0,"L'avion de la compagnie SAS est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-20T08:55:00+00:00,AF1717,Air France,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,18,1.0,"L'avion de la compagnie Air France est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-20T07:30:00+00:00,B65642,JetBlue Airways,landed,Nécessite un stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,3,1.0,L'avion de la compagnie JetBlue Airways n'est pas autorisé à stationner sur le tarmac.
2024-11-20T09:35:00+00:00,MS799,EgyptAir,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,20,1.0,L'avion de la compagnie EgyptAir est autorisé à stationner sur le tarmac.
2024-11-20T09:45:00+00:00,SK9898,SAS,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,0,1.0,L'avion de la compagnie SAS est autorisé à stationner sur le tarmac.
2024-11-20T09:05:00+00:00,VN3143,Vietnam Airlines,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,21,1.0,L'avion de la compagnie Vietnam Airlines est autorisé à stationner sur le tarmac.
2024-11-20T08:55:00+00:00,G35197,Gol,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,3,1.0,L'avion de la compagnie Gol est autorisé à stationner sur le tarmac.
2024-11-20T09:05:00+00:00,AF1543,Air France,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,5,1.0,L'avion de la compagnie Air France est autorisé à stationner sur le tarmac.
2024-11-20T09:35:00+00:00,JL5336,Jet Linx Aviation,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,7,1.0,L'avion de la compagnie Jet Linx Aviation est autorisé à stationner sur le tarmac.
2024-11-20T09:45:00+00:00,SV6046,Saudia,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,5,1.0,L'avion de la compagnie Saudia est autorisé à stationner sur le tarmac.
2024-11-20T08:20:00+00:00,LH1028,Lufthansa,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,20,1.0,L'avion de la compagnie Lufthansa est autorisé à stationner sur le tarmac.
2024-11-20T10:05:00+00:00,AF1205,Air France,scheduled,Ne nécessite pas de stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,19,1.0,"L'avion de la compagnie Air France est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-21T00:15:00+00:00,CX261,Cathay Pacific,scheduled,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,11,1.0,ALERTE : L'avion de la compagnie Cathay Pacific ne peut pas stationner en raison des heures de pointe.
2024-11-20T09:25:00+00:00,LH1030,Lufthansa,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,11,1.0,"L'avion de la compagnie Lufthansa est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-20T13:05:00+00:00,AI143,Air India,active,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,20,1.0,L'avion de la compagnie Air India n'est pas autorisé à stationner sur le tarmac.
2024-11-20T08:35:00+00:00,VN3156,Vietnam Airlines,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,2,1.0,L'avion de la compagnie Vietnam Airlines est autorisé à stationner sur le tarmac.
2024-11-20T07:30:00+00:00,EK3318,Emirates,active,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,6,1.0,L'avion de la compagnie Emirates n'est pas autorisé à stationner sur le tarmac.
2024-11-20T11:55:00+00:00,MU1672,China Eastern Airlines,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,12,1.0,"L'avion de la compagnie China Eastern Airlines est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-20T08:35:00+00:00,MF9578,Xiamen Airlines,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,1,1.0,L'avion de la compagnie Xiamen Airlines est autorisé à stationner sur le tarmac.
2024-11-21T00:15:00+00:00,SQ336,Singapore Airlines,scheduled,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,21,1.0,L'avion de la compagnie Singapore Airlines n'est pas autorisé à stationner sur le tarmac.
2024-11-20T09:45:00+00:00,WS5069,WestJet,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,23,1.0,L'avion de la compagnie WestJet est autorisé à stationner sur le tarmac.
2024-11-20T09:00:00+00:00,SK573,SAS,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,17,1.0,"L'avion de la compagnie SAS est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-20T08:25:00+00:00,AF5075,Air France,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,20,1.0,L'avion de la compagnie Air France est autorisé à stationner sur le tarmac.
2024-11-20T09:45:00+00:00,AM5882,Aeromexico,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,12,1.0,"L'avion de la compagnie Aeromexico est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-20T10:30:00+00:00,UA6926,United Airlines,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,11,1.0,"L'avion de la compagnie United Airlines est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-20T09:25:00+00:00,AF7401,Air France,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,11,1.0,"L'avion de la compagnie Air France est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-20T09:00:00+00:00,LY9794,El Al,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,3,1.0,L'avion de la compagnie El Al est autorisé à stationner sur le tarmac.
